t_s,t_utc,x_eci_m,y_eci_m,z_eci_m,vx_eci_mps,vy_eci_mps,vz_eci_mps,r_norm_m,v_norm_mps,x_ecef_m,y_ecef_m,z_ecef_m,lat_deg,lon_deg,alt_m,lat_rad,lon_rad,alt_km,B_N_nT,B_E_nT,B_D_nT,Bx_ecef_T,By_ecef_T,Bz_ecef_T,Bx_eci_T,By_eci_T,Bz_eci_T,B_norm_T,B_norm_nT,q_eci_from_body_w,q_eci_from_body_x,q_eci_from_body_y,q_eci_from_body_z,q_eci_from_body_norm,omega_body_x_radps,omega_body_y_radps,omega_body_z_radps,omega_body_x_degps,omega_body_y_degps,omega_body_z_degps,yaw_eci_from_body_rad,pitch_eci_from_body_rad,roll_eci_from_body_rad,yaw_eci_from_body_deg,pitch_eci_from_body_deg,roll_eci_from_body_deg,Bx_body_T,By_body_T,Bz_body_T,B_body_norm_T,Bx_magnetometer_T,By_magnetometer_T,Bz_magnetometer_T,B_magnetometer_norm_T,det_R_eci_from_body,RT_R_minus_I_fro,RT_R_minus_I_11,RT_R_minus_I_12,RT_R_minus_I_13,RT_R_minus_I_21,RT_R_minus_I_22,RT_R_minus_I_23,RT_R_minus_I_31,RT_R_minus_I_32,RT_R_minus_I_33,q_kalman_w,q_kalman_x,q_kalman_y,q_kalman_z,q_kalman_norm,q_kalman_error_angle_rad,q_kalman_error_angle_deg,P_kalman_ww,P_kalman_xx,P_kalman_yy,P_kalman_zz,sigma_kalman_w,sigma_kalman_x,sigma_kalman_y,sigma_kalman_z,omega_kalman_x_radps,omega_kalman_y_radps,omega_kalman_z_radps,omega_kalman_x_degps,omega_kalman_y_degps,omega_kalman_z_degps,omega_kalman_error_x_radps,omega_kalman_error_y_radps,omega_kalman_error_z_radps,omega_kalman_error_norm_radps,omega_kalman_error_norm_degps,mag_bias_kalman_x_T,mag_bias_kalman_y_T,mag_bias_kalman_z_T,mag_bias_kalman_x_uT,mag_bias_kalman_y_uT,mag_bias_kalman_z_uT,sigma_kalman_omega_x_radps,sigma_kalman_omega_y_radps,sigma_kalman_omega_z_radps,sigma_kalman_mag_bias_x_T,sigma_kalman_mag_bias_y_T,sigma_kalman_mag_bias_z_T,sigma_kalman_mag_bias_x_uT,sigma_kalman_mag_bias_y_uT,sigma_kalman_mag_bias_z_uT,innovation_kalman_x_T,innovation_kalman_y_T,innovation_kalman_z_T,innovation_kalman_norm_T
0.0,2026-01-01T12:00:00.000,6871258.863000001,0.0,0.0,0.0,-928.6717675671225,7563.424592946154,6871258.863000001,7620.22459151034,1289995.3972881434,6749059.6362788705,17443.144292174,0.1463587376479352,79.17916738986841,493122.0014389291,0.0025544418610190505,1.3819371699409284,493.1220014389291,30634.186002248964,-1746.662962665585,-9018.10982793216,3.3939550385911377e-06,8.452952847750707e-06,3.065712226781741e-05,9.017623566979951e-06,-1.7456712257982805e-06,3.063438567312635e-05,3.198172116059705e-05,31981.72116059705,1.0,0.0,0.0,0.0,1.0,0.0017453292519943296,-0.003490658503988659,0.0,0.1,-0.2,0.0,0.0,-0.0,0.0,0.0,-0.0,0.0,9.017623566979951e-06,-1.7456712257982805e-06,3.063438567312635e-05,3.198172116059705e-05,9.622340646734382e-06,-2.9856553320387757e-06,3.148483686893281e-05,3.305750338345046e-05,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9998911660443033,-0.01366611893733312,-0.004064501665226979,0.003791185298525474,1.0,0.029507413291216675,1.6906502459349455,0.001,0.00029492139827481565,0.00023630657037938786,0.0009368209566402616,0.03162277660168379,0.01717327570019231,0.01537226627336997,0.030607531044503762,0.0017453292519943296,-0.003490658503988659,0.0,0.1,-0.2,0.0,0.0,0.0,0.0,0.0,0.0,7.378014358875569e-08,-6.684084929676831e-08,1.9429635225039976e-07,0.07378014358875569,-0.06684084929676831,0.19429635225039976,0.0008726646259971648,0.0008726646259971648,0.0008726646259971648,4.850298239139245e-07,4.880416698205802e-07,4.5073157440769994e-07,0.4850298239139245,0.4880416698205802,0.45073157440769995,6.047170797544312e-07,-1.2399841062404952e-06,8.50451195806459e-07,1.6206512785680955e-06
10.0,2026-01-01T12:00:10.000,6870836.748083066,-9286.52750779967,75632.69713643612,-84.42211640495762,-928.614717441409,7562.9599569585835,6871259.285114918,7620.224123852661,1303923.3489508838,6745763.504049046,93074.22188026519,0.78097253519762,79.05992368228284,493126.2266654772,0.013630542106845773,1.3798559746312749,493.1262266654772,30765.341494447912,-1690.4647881242922,-8191.489389442118,3.134615039694547e-06,7.309337262681586e-06,3.08741345501461e-05,7.84745154510814e-06,-1.6999711462780565e-06,3.0854367749740585e-05,3.188203893867564e-05,31882.03893867564,0.9998096201095343,0.00872628280397186,-0.017452087788888675,-1.2516501676358164e-05,1.0,0.0017453997669152168,-0.003490622070088297,-5.007459654981044e-06,0.10000404020735953,-0.19999791249127805,-0.0002869063043124492,-0.00032981283858894104,-0.03490439908543198,0.017461202176556927,-0.018896883680375776,-1.9998747540355428,1.000453189941359,8.919966092938425e-06,-1.1635072051212675e-06,3.058667786425472e-05,3.1882038938675645e-05,1.016053080932964e-05,-3.314542393775104e-06,2.9384498357392404e-05,3.1267736108056593e-05,0.9999999999999998,5.510879700439447e-18,0.0,1.4798578077371956e-19,3.3450928426567516e-18,1.4798578077371956e-19,0.0,1.993326771769533e-18,3.3450928426567516e-18,1.993326771769533e-18,0.0,0.9994381566281895,-0.013763131308476114,-0.030246955544583617,0.004366803466641828,1.0,0.05249146052931795,3.0075391488074645,9.249534256646557e-08,0.00022937862890552176,0.00016379095625470197,0.0009461863105182366,0.0003041304696449627,0.01514525103474755,0.01279808408531144,0.030760141588072,0.0015885535018818437,-0.0036537682341808465,3.0043839552491245e-05,0.09101741118855693,-0.20934549913752992,0.0017213852067259603,-0.00015684626503337305,-0.00016314616409254974,3.505129920747229e-05,0.0002290109501512188,0.01312136090594572,6.024406402338954e-08,-8.898406586231418e-08,4.228278358180572e-08,0.06024406402338955,-0.08898406586231418,0.04228278358180572,0.0008560438527899576,0.0008547905831393696,0.0008711516940891713,4.810437667581122e-07,4.866710888774672e-07,4.154749115262408e-07,0.4810437667581122,0.48667108887746724,0.4154749115262408,9.369126595270634e-07,-1.1799922169676782e-06,-1.2805946612433442e-06,1.9773997193514838e-06
20.0,2026-01-01T12:00:20.000,6869570.455350527,-18571.91403666011,151256.10174512412,-168.83382926581297,-928.4435741367497,7561.56610659661,6871260.55140765,7620.222720937426,1317686.3653497016,6741621.955298073,168693.8639827627,1.4155823634145037,78.9406568867156,493136.49950183457,0.02470657307474601,1.3777743763603236,493.1364995018346,30886.039190907362,-1634.7053645589162,-7360.497960091716,2.8694833454048676e-06,6.159182687058015e-06,3.105844720377351e-05,6.669618731352212e-06,-1.651530352572297e-06,3.1041669449703026e-05,3.1793027675131825e-05,31793.027675131823,0.9992385523977008,0.017450384857119448,-0.034896947807938214,-5.004174014241108e-05,0.9999999999999999,0.0017456113114871913,-0.003490512757371798,-1.0015219381194583e-05,0.10001616081851258,-0.19999164933397556,-0.0005738298014400736,-0.001321154647194981,-0.06979565841496316,0.034969939165560925,-0.0756965853683677,-3.998996655514138,2.003629924015881,8.820365961461635e-06,-5.753189926299534e-07,3.0539593335771615e-05,3.179302767513182e-05,9.24820636462892e-06,-1.0915615849735357e-06,3.0622792178267326e-05,3.200744020458217e-05,1.0000000000000002,1.1126520657343285e-16,0.0,9.820630013919488e-19,1.910227770216253e-18,9.820630013919488e-19,-1.1102230246251565e-16,4.73115810371832e-18,1.910227770216253e-18,4.73115810371832e-18,0.0,0.9989506055670497,0.0009495830350431179,-0.045487138200164645,0.005263666748879944,0.9999999999999999,0.04063305068801722,2.3281023131645324,3.821268705187922e-07,0.00021817846710578707,0.00014833183617780362,0.0009934282428131077,0.0006181641129334444,0.014770865482624471,0.012179155807271849,0.03151869671818788,0.0018259584023163989,-0.003536802504059483,-3.992099059277077e-05,0.10461971001918045,-0.2026438564539096,-0.0022873042749472277,8.034709082920758e-05,-4.628974668768491e-05,-2.9905771211576187e-05,9.743074876488485e-05,0.00558237069902736,6.061849610401343e-08,-7.368817700144813e-08,6.409081980398367e-08,0.06061849610401343,-0.07368817700144813,0.06409081980398366,0.0008110961445850732,0.0008073175070069055,0.0008669395385347116,4.783378874728326e-07,4.861968619477368e-07,3.8877724296197475e-07,0.47833788747283257,0.48619686194773687,0.38877724296197474,-4.359108147879388e-07,1.0831250055426974e-06,3.5092917945333835e-07,1.2191510591689392e-06
30.0,2026-01-01T12:00:30.000,6867460.140850647,-27855.018749088675,226860.9224503059,-253.22473634349979,-928.1583588696806,7559.243214655052,6871262.661722146,7620.220382938038,1331281.5304858256,6736635.7398004215,244292.77968827548,2.0501849675118824,78.82134822345235,493152.8152933358,0.035782477957975324,1.3756920473602265,493.15281529333583,30996.177635929762,-1579.3672065240391,-6525.597187611452,2.5987247757929965e-06,5.003656958029428e-06,3.120978843331306e-05,5.485294458415856e-06,-1.6003054298142113e-06,3.119601600688617e-05,3.171499404802275e-05,31714.99404802275,0.9982870127188347,0.02617012533457263,-0.05232735536951599,-0.00011250293469291488,1.0,0.0017459638851339122,-0.003490330532791814,-1.5023579166480674e-05,0.10003636180043722,-0.19998120863461893,-0.0008607876794200137,-0.002979756692955888,-0.10466051764510657,0.05257413123022863,-0.1707274824822319,-5.996605942719088,3.012275831059035,8.719031356860766e-06,1.8473088025101055e-08,3.0492933581556502e-05,3.171499404802275e-05,8.165987429287188e-06,6.978710628879296e-07,3.137072551698545e-05,3.2423645602827184e-05,1.0,1.5745535152271784e-16,-1.1102230246251565e-16,-2.967267813071621e-19,2.0839415992416793e-18,-2.967267813071621e-19,-1.1102230246251565e-16,-8.106254259595804e-18,2.0839415992416793e-18,-8.106254259595804e-18,0.0,0.9982569057925185,0.021467476044977944,-0.054550369196015795,0.006823102694771069,0.9999999999999999,0.017339054581844066,0.9934546482866374,7.224745341035836e-07,0.00021798532187676745,0.00014860648300311918,0.0010775224829539468,0.0008499850199289301,0.014764325987892825,0.012190425874559067,0.03282563758640412,0.002313898006766241,-0.003126717258978067,-0.0001755706142919784,0.13257659001143923,-0.17914770267015645,-0.010059455205449614,0.000567934121632329,0.0003636132738137469,-0.00016054703512549773,0.0006932092973232714,0.03971796705585289,7.245928700422476e-08,-5.8190724783918245e-08,1.2846760829182312e-07,0.07245928700422476,-0.05819072478391824,0.1284676082918231,0.0007403096403123036,0.0007333251299639648,0.0008615564898388671,4.765949245634149e-07,4.860939689881495e-07,3.672032575002798e-07,0.4765949245634149,0.4860939689881495,0.3672032575002798,-1.2524053463443678e-06,1.8260612315003695e-06,1.0219697073021841e-06,2.438737553609226e-06
40.0,2026-01-01T12:00:40.000,6864506.064642123,-37134.70109046778,302437.8701800558,-337.58443800884845,-927.7591069980688,7555.991569100626,6871265.615798345,7620.217110143473,1344705.9501287255,6730805.715201611,319861.6806532738,2.684777092543185,78.70197887250983,493175.1666841464,0.04685819994699908,1.373608659160311,493.1751666841464,31095.66973662622,-1524.4330351436324,-5687.251544713815,2.3225142919128665e-06,3.84393595273675e-06,3.1327934600543603e-05,4.295657854695074e-06,-1.5462579609202167e-06,3.131718078778016e-05,3.164821326047995e-05,31648.21326047995,0.9969553607489794,0.034883323263750564,-0.06973609194929911,-0.00019977884741980323,1.0,0.0017464574868805366,-0.0034900753412657067,-2.0032838831829878e-05,0.1000646430972791,-0.19996658723720548,-0.0011477971167296384,-0.005315242671211363,-0.13948547318499102,0.07032247461792566,-0.304540972148253,-7.991928916885202,4.029181000522997,8.616156262525941e-06,6.174320281753703e-07,3.0446510991099412e-05,3.164821326047995e-05,8.982186960087158e-06,1.5446732351434031e-06,3.1014020333351456e-05,3.232545676749001e-05,1.0,2.485023570707184e-16,2.220446049250313e-16,-1.2304254031847103e-18,-7.332704943040995e-18,-1.2304254031847103e-18,0.0,2.5591241081926718e-18,-7.332704943040995e-18,2.5591241081926718e-18,-1.1102230246251565e-16,0.996622398996725,0.040669010992158236,-0.07089242582631079,0.008005580765511881,0.9999999999999998,0.020223842533030178,1.1587408226797933,1.199444391446823e-06,0.00021392795253320304,0.0001511520897594103,0.0011961141944970952,0.0010951914862008484,0.0146262760993085,0.012294392614497484,0.03458488390174377,0.0026314254743468905,-0.0031587019098736095,-0.0002588407798832135,0.1507695737832875,-0.18098028817567036,-0.014830484253182875,0.0008849679874663539,0.0003313734313920972,-0.0002388079410513836,0.000974682472696633,0.05584519205089216,8.826702955095061e-08,-5.126573202923594e-08,1.7872667763560326e-07,0.08826702955095062,-0.05126573202923594,0.17872667763560326,0.0006579558720327938,0.0006465042860712472,0.0008571287998023836,4.756279497936231e-07,4.859996589560976e-07,3.4889310582961735e-07,0.47562794979362305,0.48599965895609754,0.34889310582961736,2.820752460704863e-07,1.17438934471732e-06,4.3905168333718256e-07,1.285116009577546e-06
50.0,2026-01-01T12:00:50.000,6860708.590761453,-46409.82093044698,377977.65931782674,-421.90253854709624,-927.2458680165734,7551.811573034988,6871269.413272207,7620.212902958255,1357956.7523281996,6724132.846880281,395391.2822535442,3.3193554833244794,78.58252995548807,493203.5436209917,0.057933682228139896,1.37152388227034,493.2035436209917,31184.442671850877,-1469.8858019490817,-4845.927423288038,2.0410366026036935e-06,2.6812010744503303e-06,3.1412710357460385e-05,3.1018953264203758e-06,-1.4893545860579935e-06,3.140498543093788e-05,3.159292708212554e-05,31592.927082125538,0.995244099864137,0.04358779745146254,-0.08711594826517326,-0.00031169987809424963,1.0,0.001747092115332301,-0.0034897471056699785,-2.5043297947790288e-05,0.10010100462912411,-0.19994778072288427,-0.0014348752774970192,-0.008341237086117363,-0.17425665134308505,0.08826484230362434,-0.4779176809525257,-9.984170674041462,5.057202943385442,8.511921485467999e-06,1.2211058535716958e-06,3.040015024199884e-05,3.159292708212553e-05,7.952629022584761e-06,1.3898566376541946e-06,2.9541267641169837e-05,3.062454087315134e-05,1.0,1.1196383324115794e-16,0.0,5.213068774267505e-18,-2.89828010477547e-18,5.213068774267505e-18,0.0,8.330548684016938e-18,-2.89828010477547e-18,8.330548684016938e-18,-1.1102230246251565e-16,0.9950210414336549,0.05236767506636616,-0.08458490711117168,0.006012254271315143,1.0,0.02222933585657005,1.2736471259602926,2.054929943224988e-06,0.00020670975615410972,0.0001515908241588523,0.001348654722465675,0.001433502683368604,0.014377404360805524,0.01231222255154821,0.036724034670303794,0.0025656395434837716,-0.0030747383071881807,-0.00025761408843842583,0.14700031759349136,-0.17616952810908199,-0.014760200010631736,0.0008185474281514706,0.00041500879848179774,-0.00023257079049063555,0.0009467530657674848,0.05424495490954854,5.966663493637496e-08,-6.978660861996328e-08,6.657500977101704e-08,0.05966663493637496,-0.06978660861996328,0.06657500977101703,0.0005784207564728833,0.0005609050651733572,0.0008530504489684303,4.7490926567609073e-07,4.856822368334875e-07,3.3344183930619124e-07,0.4749092656760907,0.4856822368334875,0.33344183930619126,-6.088692102029458e-07,-3.428045540376539e-07,-1.0205957955928376e-06,1.236872044871211e-06
60.0,2026-01-01T12:01:00.000,6856068.187177278,-55679.23870428066,453471.0088535534,-506.16864746187406,-926.618705550293,7546.703744642979,6871274.053675757,7620.20776190239,1371031.087925391,6716618.207795735,470872.304735168,3.9539168843476173,78.46298251728768,493237.9333582755,0.06900886798206177,1.3694373858614186,493.2379333582755,31262.43776973859,-1415.7087094105764,-4002.0922527870125,1.7544857484211633e-06,1.5166367727151685e-06,3.146398864598594e-05,1.90519806878497e-06,-1.429567044208047e-06,3.145929985300546e-05,3.154934213032812e-05,31549.34213032812,0.9931538769698626,0.05228136641214085,-0.1044597273528107,-0.0004480481969742824,0.9999999999999999,0.0017478677686445332,-0.0034893457268324857,-3.0055255750682614e-05,0.10014544629028035,-0.1999247834095101,-0.0017220393067004106,-0.012075518983465408,-0.20895967506001478,0.10645270015557236,-0.691876273182674,-11.972507469363935,6.099290436685938,8.406495793549586e-06,1.8290293913306797e-06,3.035368954205038e-05,3.154934213032812e-05,9.58494609485686e-06,1.5791034803444269e-06,3.0268827178505117e-05,3.1789411101892996e-05,1.0,2.7202869024460224e-16,-1.1102230246251565e-16,2.0896113716971146e-18,3.913653859123117e-18,2.0896113716971146e-18,2.220446049250313e-16,1.505345026294181e-18,3.913653859123117e-18,1.505345026294181e-18,-1.1102230246251565e-16,0.99233055980781,0.05998749690286422,-0.10789690874144321,0.006310100703470193,1.0,0.021684117897557212,1.2424084379941203,2.5423841283435545e-06,0.0001964211302367286,0.00015008689715598637,0.0015342730952133295,0.0015944855372011233,0.014015032295243868,0.012250995761814073,0.03916979825341623,0.002367767748061053,-0.0033968005147968477,-0.00016622585078110273,0.13566309883109354,-0.1946223333457247,-0.009524039695728586,0.0006198999794165198,9.254521203563805e-05,-0.0001361705950304201,0.0006413914808463406,0.03674902486814129,5.772850168534768e-08,-6.499926725191084e-08,8.330304467986098e-08,0.05772850168534768,-0.06499926725191084,0.08330304467986098,0.0005092635118471858,0.0004844601387411121,0.0008496790660809013,4.744170899779774e-07,4.851931875560584e-07,3.201402835603352e-07,0.47441708997797744,0.4851931875560584,0.3201402835603352,1.4046104399784835e-06,-9.404547371556948e-07,-1.7390652351164198e-07,1.6993025274079484e-06
70.0,2026-01-01T12:01:10.000,6850585.425731677,-64941.81555409311,528908.6435341636,-590.3723807784903,-925.8776973465974,7540.66871712611,6871279.536437145,7620.201687611308,1383926.1310588024,6708262.978321657,546295.4743648755,4.588458039681121,78.34331750768729,493278.3204645493,0.08008370038204018,1.3673488374444611,493.27832046454927,31329.610356148012,-1361.8852281287,-3156.213644119258,1.463064664498228e-06,3.514281042859342e-07,3.148169056904332e-05,7.06759612952681e-07,-1.3668721971320033e-06,3.148004212602301e-05,3.151762841664926e-05,31517.62841664926,0.9906854822822476,0.06096184829760314,-0.12176024763688072,-0.0006085579152576861,1.0,0.0017487844444840515,-0.003488871083522472,-3.5069011058550525e-05,0.10019796794706637,-0.1998975883510722,-0.0020093063253525567,-0.01654022300556944,-0.2435795218560378,0.12493954384903923,-0.9476849704243184,-13.956078578165558,7.1585085568396325,8.300037152141168e-06,2.4407260758947307e-06,3.030698171223094e-05,3.151762841664926e-05,7.919107607737226e-06,3.4632674145687607e-06,3.025245223016214e-05,3.14629520615275e-05,1.0,1.1424898585174137e-16,-1.1102230246251565e-16,8.774594891976599e-18,-1.5987561804518058e-17,8.774594891976599e-18,0.0,5.553729743601061e-18,-1.5987561804518058e-17,5.553729743601061e-18,0.0,0.9898060317608508,0.07453495871926438,-0.12126240283840674,0.0048978644745262655,0.9999999999999999,0.02936495662583691,1.6824880802451776,3.4652074354366767e-06,0.000186945547362683,0.00014679122546181744,0.001752562074997347,0.0018615067648108821,0.013672803200612631,0.012115742877009955,0.04186361278004261,0.002461727376111113,-0.0032727348517568476,-0.00022014571962790646,0.14104658896298103,-0.1875138944710405,-0.012613420612549367,0.0007129429316270616,0.0002161362317656245,-0.00018507670856935594,0.0007676300427248135,0.04398196167557888,5.718693548924137e-08,-7.026453838125414e-08,6.955063453032014e-08,0.05718693548924137,-0.07026453838125414,0.06955063453032014,0.0004518160349860243,0.00041950476327647584,0.0008460659650208714,4.738664225166381e-07,4.84622528688447e-07,3.0892437588461234e-07,0.4738664225166381,0.48462252868844696,0.30892437588461236,-6.209494941550473e-07,4.648657283832127e-07,-3.06285806961824e-08,7.76283794544319e-07
80.0,2026-01-01T12:01:20.000,6844260.982068442,-74196.41347005284,604281.2950133514,-674.5033623463439,-925.0229352651489,7533.707238621297,6871285.86088072,7620.194680835785,1396639.0796692611,6699068.446065297,621651.5245796276,5.222975692855835,78.22351576270928,493324.68683036487,0.09115812259196639,1.3652579025449605,493.32468683036484,31385.92957616554,-1308.3991106834483,-2308.758560123918,1.1669847241442407e-06,-8.13241658918992e-07,3.146578513782261e-05,-4.922265846975519e-07,-1.3012520361307402e-06,3.146717823081041e-05,3.149791818012432e-05,31497.918180124318,0.9878398490603464,0.06962706082874459,-0.13901034599669096,-0.000792915293679711,1.0,0.0017498421399819771,-0.0034883230324384293,-4.008486218678177e-05,0.1002585694351075,-0.19986618733699896,-0.0022966934256661393,-0.02176209024947728,-0.2781003704152773,0.1437813619786214,-1.246875924677849,-15.93397750582025,8.23806521401777,8.19269404620922e-06,3.055709785481458e-06,3.0259895103154716e-05,3.149791818012432e-05,8.064366224046114e-06,2.503576234993228e-06,3.089220428870806e-05,3.202546147013703e-05,1.0,8.913464895253211e-17,0.0,1.3728004768496573e-17,-5.877859846862777e-17,1.3728004768496573e-17,0.0,1.8141418607306622e-17,-5.877859846862777e-17,1.8141418607306622e-17,0.0,0.9875950886043395,0.0779157413298684,-0.13631860569453333,0.0015218275534192038,1.0,0.018040641245334315,1.033652603067294,4.099721817437596e-06,0.00017492957190691095,0.00014351902581123658,0.0019926314343429825,0.002024776979678897,0.013226094355738996,0.01197994264640848,0.04463890046073024,0.0022104954452307596,-0.00323242563944293,-0.00020834941100498694,0.12665205964461435,-0.18520434672995625,-0.0119375419146223,0.0004606533052487825,0.00025589739299549915,-0.00016826454881820518,0.0005531707708904323,0.031694350522019986,6.684294292370837e-08,-5.207805956758963e-08,1.0215826316243131e-07,0.06684294292370836,-0.05207805956758963,0.1021582631624313,0.00040676384414397915,0.000365387581299264,0.0008416132900841467,4.734917240657204e-07,4.837504186124597e-07,2.99039304412273e-07,0.4734917240657204,0.4837504186124597,0.299039304412273,-8.662095024938187e-08,-1.5234240604726958e-06,6.594033608584724e-07,1.6622685852053725e-06
90.0,2026-01-01T12:01:30.000,6837095.635548328,-83441.89543143801,679579.7030004624,-758.5512251402837,-924.054525266111,7525.820172104817,6871293.026227115,7620.18674244184,1409167.1559997178,6689036.005672914,696931.1971352783,5.857466586732327,78.10355798576926,493377.0116774599,0.10223207776403312,1.363164244373984,493.37701167745985,31431.3781906812,-1255.234402169605,-1460.1925135123706,8.664652649936152e-07,-1.9761933691178695e-06,3.141628890017011e-05,-1.6905695052251267e-06,-1.232693672041621e-06,3.142072169135281e-05,3.149030502466652e-05,31490.30502466652,0.9846180532901286,0.07827482122948393,-0.15620288082521466,-0.001000758988797577,1.0,0.0017510408516779495,-0.003487701408193814,-4.510310686333641e-05,0.10032725055613968,-0.1998305708913395,-0.002584217666196713,-0.027772771857243233,-0.31250543296477035,0.16303713092587999,-1.591262612799746,-17.90524238378981,9.341339505974755,8.084606873275614e-06,3.6734867004666314e-06,3.0212314338901898e-05,3.149030502466653e-05,8.750050937639693e-06,3.88621931206262e-06,3.074313534190978e-05,3.2199479228765796e-05,1.0000000000000002,5.79213309358782e-17,0.0,1.4260923876958562e-17,3.4279485910888695e-17,1.4260923876958562e-17,0.0,1.729113022773632e-17,3.4279485910888695e-17,1.729113022773632e-17,0.0,0.9839974576195881,0.08655782937100553,-0.1557303581321865,0.0021911478242148392,0.9999999999999999,0.01782194547076434,1.0211222581870898,4.433088129122642e-06,0.0001628144217394917,0.00013989838926964672,0.002260000101884445,0.0021054899973931584,0.012759875459403658,0.011827864949755164,0.04753945836759654,0.0021512330739892533,-0.0033357726777129364,-0.00016241822064843,0.12325657588853857,-0.19112569584800462,-0.0093058785591796,0.00040019222231130387,0.00015192873048087757,-0.0001173151137850936,0.00044384568249156224,0.025430484361870093,7.18046690519931e-08,-3.2741809579966084e-08,1.4425272132047222e-07,0.07180466905199309,-0.032741809579966086,0.14425272132047223,0.0003727064045235383,0.0003207512429672739,0.0008375235201269024,4.732163863803172e-07,4.829060517369899e-07,2.902448580427231e-07,0.47321638638031716,0.4829060517369899,0.2902448580427231,8.485532307808998e-07,-3.949530707126976e-07,4.5024280678201893e-07,1.0386284699511383e-06
