t_s,t_utc,x_eci_m,y_eci_m,z_eci_m,vx_eci_mps,vy_eci_mps,vz_eci_mps,r_norm_m,v_norm_mps,x_ecef_m,y_ecef_m,z_ecef_m,lat_deg,lon_deg,alt_m,lat_rad,lon_rad,alt_km,B_N_nT,B_E_nT,B_D_nT,Bx_ecef_T,By_ecef_T,Bz_ecef_T,Bx_eci_T,By_eci_T,Bz_eci_T,B_norm_T,B_norm_nT,q_eci_from_body_w,q_eci_from_body_x,q_eci_from_body_y,q_eci_from_body_z,q_eci_from_body_norm,omega_body_x_radps,omega_body_y_radps,omega_body_z_radps,omega_body_x_degps,omega_body_y_degps,omega_body_z_degps,yaw_eci_from_body_rad,pitch_eci_from_body_rad,roll_eci_from_body_rad,yaw_eci_from_body_deg,pitch_eci_from_body_deg,roll_eci_from_body_deg,yaw_lvlh_from_body_rad,pitch_lvlh_from_body_rad,roll_lvlh_from_body_rad,yaw_lvlh_from_body_deg,pitch_lvlh_from_body_deg,roll_lvlh_from_body_deg,R_eci_from_lvlh_11,R_eci_from_lvlh_12,R_eci_from_lvlh_13,R_eci_from_lvlh_21,R_eci_from_lvlh_22,R_eci_from_lvlh_23,R_eci_from_lvlh_31,R_eci_from_lvlh_32,R_eci_from_lvlh_33,Bx_body_T,By_body_T,Bz_body_T,B_body_norm_T,Bx_magnetometer_T,By_magnetometer_T,Bz_magnetometer_T,B_magnetometer_norm_T,det_R_eci_from_body,RT_R_minus_I_fro,RT_R_minus_I_11,RT_R_minus_I_12,RT_R_minus_I_13,RT_R_minus_I_21,RT_R_minus_I_22,RT_R_minus_I_23,RT_R_minus_I_31,RT_R_minus_I_32,RT_R_minus_I_33,q_kalman_w,q_kalman_x,q_kalman_y,q_kalman_z,q_kalman_norm,q_kalman_error_angle_rad,q_kalman_error_angle_deg,P_kalman_ww,P_kalman_xx,P_kalman_yy,P_kalman_zz,sigma_kalman_w,sigma_kalman_x,sigma_kalman_y,sigma_kalman_z,omega_kalman_x_radps,omega_kalman_y_radps,omega_kalman_z_radps,omega_kalman_x_degps,omega_kalman_y_degps,omega_kalman_z_degps,omega_kalman_error_x_radps,omega_kalman_error_y_radps,omega_kalman_error_z_radps,omega_kalman_error_norm_radps,omega_kalman_error_norm_degps,mag_bias_kalman_x_T,mag_bias_kalman_y_T,mag_bias_kalman_z_T,mag_bias_kalman_x_uT,mag_bias_kalman_y_uT,mag_bias_kalman_z_uT,sigma_kalman_omega_x_radps,sigma_kalman_omega_y_radps,sigma_kalman_omega_z_radps,sigma_kalman_mag_bias_x_T,sigma_kalman_mag_bias_y_T,sigma_kalman_mag_bias_z_T,sigma_kalman_mag_bias_x_uT,sigma_kalman_mag_bias_y_uT,sigma_kalman_mag_bias_z_uT,innovation_kalman_x_T,innovation_kalman_y_T,innovation_kalman_z_T,innovation_kalman_norm_T,nis_kalman
0.0,2026-01-01T12:00:00.000,6871258.863000001,0.0,0.0,0.0,-928.6717675671225,7563.424592946154,6871258.863000001,7620.22459151034,1289995.3972881434,6749059.6362788705,17443.144292174,0.1463587376479352,79.17916738986841,493122.0014389291,0.0025544418610190505,1.3819371699409284,493.1220014389291,30634.186002248964,-1746.662962665585,-9018.10982793216,3.3939550385911377e-06,8.452952847750707e-06,3.065712226781741e-05,9.017623566979951e-06,-1.7456712257982805e-06,3.063438567312635e-05,3.198172116059705e-05,31981.72116059705,1.0,0.0,0.0,0.0,1.0,0.0017453292519943296,-0.003490658503988659,0.0,0.1,-0.2,0.0,0.0,-0.0,0.0,0.0,-0.0,0.0,0.12217304763960296,1.5707963267948966,0.0,6.999999999999994,90.0,0.0,0.0,-0.0,-1.0,-0.12186934340514737,0.992546151641322,-0.0,0.9925461516413221,0.12186934340514735,-0.0,9.017623566979951e-06,-1.7456712257982805e-06,3.063438567312635e-05,3.198172116059705e-05,9.622340646734382e-06,-2.9856553320387757e-06,3.148483686893281e-05,3.305750338345046e-05,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9999163135390988,-0.01198376600378429,-0.003564145541359009,0.0033244754932406397,1.0,0.025874717878966988,1.4825121305565017,5.496186228220003e-08,0.0003817202855874148,0.0003302861462104428,0.0009444456372214126,0.0002344394640033969,0.019537663258112903,0.01817377633323473,0.030731834263860863,0.0017453292519943296,-0.003490658503988659,0.0,0.1,-0.2,0.0,0.0,0.0,0.0,0.0,0.0,1.9896791958238887e-07,-2.228646408004615e-07,4.782898769843575e-07,0.19896791958238888,-0.2228646408004615,0.4782898769843575,0.0008726646259971648,0.0008726646259971648,0.0008726646259971648,8.995179559570227e-07,9.13691120074678e-07,7.264296461373077e-07,0.8995179559570227,0.913691120074678,0.7264296461373076,6.047170797544312e-07,-1.2399841062404952e-06,8.50451195806459e-07,1.6206512785680955e-06,0.8034301095537171
10.0,2026-01-01T12:00:10.000,6870836.748083066,-9286.52750779967,75632.69713643612,-84.42211640495762,-928.614717441409,7562.9599569585835,6871259.285114918,7620.224123852661,1303923.3489508838,6745763.504049046,93074.22188026519,0.78097253519762,79.05992368228284,493126.2266654772,0.013630542106845773,1.3798559746312749,493.1262266654772,30765.341494447912,-1690.4647881242922,-8191.489389442118,3.134615039694547e-06,7.309337262681586e-06,3.08741345501461e-05,7.84745154510814e-06,-1.6999711462780565e-06,3.0854367749740585e-05,3.188203893867564e-05,31882.03893867564,0.9998096201095343,0.00872628280397186,-0.017452087788888675,-1.2516501676358164e-05,1.0,0.0017453997669152168,-0.003490622070088297,-5.007459654981044e-06,0.10000404020735953,-0.19999791249127805,-0.0002869063043124492,-0.00032981283858894104,-0.03490439908543198,0.017461202176556927,-0.018896883680375776,-1.9998747540355428,1.000453189941359,0.1648897356634078,1.5468774370134801,0.060193906737566416,9.44748593854104,88.62954856488625,3.4488568084666458,-0.011089770059468552,2.845876379387503e-19,-0.9999385066092955,-0.12186184924599845,0.992546151641322,0.0013515029956614945,0.992485116613027,0.12186934340514735,-0.011007108595112666,8.919966092938425e-06,-1.1635072051212675e-06,3.058667786425472e-05,3.1882038938675645e-05,1.016053080932964e-05,-3.314542393775104e-06,2.9384498357392404e-05,3.1267736108056593e-05,0.9999999999999998,5.510879700439447e-18,0.0,1.4798578077371956e-19,3.3450928426567516e-18,1.4798578077371956e-19,0.0,1.993326771769533e-18,3.3450928426567516e-18,1.993326771769533e-18,0.0,0.9995236952728712,-0.010847792759616368,-0.02865965625489913,0.003651312594157505,1.0,0.04570698646390338,2.6188174186432462,2.6590593727195847e-07,0.0003348075718820203,0.00027801465176876075,0.0009556168951336635,0.0005156606803625408,0.018297747727029693,0.01667377137209098,0.030913053798252665,0.0015941748810356872,-0.003650681143244492,2.90166976898554e-05,0.09133949248911498,-0.2091686218559037,0.0016625343130357202,-0.0001512248858795296,-0.00016005907315619523,3.4024157344836445e-05,0.0002228127381724914,0.012766229519037208,1.8288340350311255e-07,-3.047112926295674e-07,5.742842058381533e-08,0.18288340350311255,-0.3047112926295674,0.05742842058381533,0.0008562426788256661,0.000854997272810367,0.0008711826665107018,8.842745249407598e-07,9.053373800223069e-07,6.118400373134866e-07,0.8842745249407598,0.9053373800223069,0.6118400373134866,8.39550103891123e-07,-1.1352189826778311e-06,-1.5802730926111014e-06,2.119157748447798e-06,2.5512844287283967
20.0,2026-01-01T12:00:20.000,6869570.455350527,-18571.91403666011,151256.10174512412,-168.83382926581297,-928.4435741367497,7561.56610659661,6871260.55140765,7620.222720937426,1317686.3653497016,6741621.955298073,168693.8639827627,1.4155823634145037,78.9406568867156,493136.49950183457,0.02470657307474601,1.3777743763603236,493.1364995018346,30886.039190907362,-1634.7053645589162,-7360.497960091716,2.8694833454048676e-06,6.159182687058015e-06,3.105844720377351e-05,6.669618731352212e-06,-1.651530352572297e-06,3.1041669449703026e-05,3.1793027675131825e-05,31793.027675131823,0.9992385523977008,0.017450384857119448,-0.034896947807938214,-5.004174014241108e-05,0.9999999999999999,0.0017456113114871913,-0.003490512757371798,-1.0015219381194583e-05,0.10001616081851258,-0.19999164933397556,-0.0005738298014400736,-0.001321154647194981,-0.06979565841496316,0.034969939165560925,-0.0756965853683677,-3.998996655514138,2.003629924015881,0.1510661143559266,1.522995361249532,0.0638966988994175,8.65545078003525,87.26120641760035,3.661011171754835,-0.022178173499416597,5.691752758775006e-19,-0.9997540340604931,-0.12183936769759965,0.992546151641322,0.0027028394422993402,0.9923020190946298,0.12186934340514735,-0.022012860757279495,8.820365961461635e-06,-5.753189926299534e-07,3.0539593335771615e-05,3.179302767513182e-05,9.24820636462892e-06,-1.0915615849735357e-06,3.0622792178267326e-05,3.200744020458217e-05,1.0000000000000002,1.1126520657343285e-16,0.0,9.820630013919488e-19,1.910227770216253e-18,9.820630013919488e-19,-1.1102230246251565e-16,4.73115810371832e-18,1.910227770216253e-18,4.73115810371832e-18,0.0,0.9990122580347598,0.003402827873749009,-0.04405865393411301,0.004665197987899286,1.0,0.03484612404899869,1.9965358403969446,5.84583356522017e-07,0.0003336382515601476,0.0002739262917872422,0.001004274275288474,0.000764580510163591,0.018265767204258012,0.01655071876950491,0.031690286765639626,0.0018336458939903215,-0.003531952599997573,-4.1417056580222956e-05,0.10506017084713819,-0.20236597742011878,-0.0023730225419013097,8.803458250313022e-05,-4.143984262577503e-05,-3.140183719902837e-05,0.00010224198576330433,0.005858034273273987,1.6862697900061079e-07,-2.474934217927237e-07,8.620781433720314e-08,0.16862697900061077,-0.2474934217927237,0.08620781433720315,0.0008118240689858379,0.0008080508926440596,0.0008671313723705692,8.772146607341656e-07,9.028256968350649e-07,5.471964997935211e-07,0.8772146607341655,0.9028256968350649,0.5471964997935211,-4.661708171624459e-07,1.1059480302460322e-06,2.93849926754097e-07,1.235631035476355e-06,0.9322267419418606
30.0,2026-01-01T12:00:30.000,6867460.140850647,-27855.018749088675,226860.9224503059,-253.22473634349979,-928.1583588696806,7559.243214655052,6871262.661722146,7620.220382938038,1331281.5304858256,6736635.7398004215,244292.77968827548,2.0501849675118824,78.82134822345235,493152.8152933358,0.035782477957975324,1.3756920473602265,493.15281529333583,30996.177635929762,-1579.3672065240391,-6525.597187611452,2.5987247757929965e-06,5.003656958029428e-06,3.120978843331306e-05,5.485294458415856e-06,-1.6003054298142113e-06,3.119601600688617e-05,3.171499404802275e-05,31714.99404802275,0.9982870127188347,0.02617012533457263,-0.05232735536951599,-0.00011250293469291488,1.0,0.0017459638851339122,-0.003490330532791814,-1.5023579166480674e-05,0.10003636180043722,-0.19998120863461893,-0.0008607876794200137,-0.002979756692955888,-0.10466051764510657,0.05257413123022863,-0.1707274824822319,-5.996605942719088,3.012275831059035,0.13719361766866625,1.4991496673746518,0.06760180898520375,7.860615268546017,85.89494879900876,3.8732983423017417,-0.033263843871754406,5.691752758775008e-19,-0.9994466052225479,-0.12180190154697544,0.992546151641322,0.004053842811782044,0.9919968817846236,0.12186934340514735,-0.0330159002237076,8.719031356860766e-06,1.8473088025101055e-08,3.0492933581556502e-05,3.171499404802275e-05,8.165987429287188e-06,6.978710628879296e-07,3.137072551698545e-05,3.2423645602827184e-05,1.0,1.5745535152271784e-16,-1.1102230246251565e-16,-2.967267813071621e-19,2.0839415992416793e-18,-2.967267813071621e-19,-1.1102230246251565e-16,-8.106254259595804e-18,2.0839415992416793e-18,-8.106254259595804e-18,0.0,0.9982829963596268,0.023304399927015752,-0.0533610846786327,0.006368576387783172,1.0,0.014322793427984329,0.8206356142612147,1.1514976175997892e-06,0.00034069807679578686,0.0002831241707788521,0.0010894575857015073,0.0010730785700962392,0.018458008473174643,0.016826294029846624,0.03300693238853782,0.0023204932271499636,-0.0031217177209000527,-0.0001774220680368112,0.13295446830438518,-0.17886125023877128,-0.010165535690992225,0.0005745293420160514,0.0003686128118917612,-0.00016239848887033054,0.0007016641925561791,0.040202396868923775,1.7114634851216163e-07,-1.8690999315587127e-07,1.8619473074131866e-07,0.17114634851216162,-0.18690999315587126,0.18619473074131868,0.0007416723187967094,0.0007346352424828622,0.0008619102670140311,8.741066649359697e-07,9.021560705892472e-07,5.03426808381778e-07,0.8741066649359697,0.9021560705892472,0.503426808381778,-1.2755182518417662e-06,1.8364260223358302e-06,9.685058050083356e-07,2.436680291016554e-06,3.754864608148724
40.0,2026-01-01T12:00:40.000,6864506.064642123,-37134.70109046778,302437.8701800558,-337.58443800884845,-927.7591069980688,7555.991569100626,6871265.615798345,7620.217110143473,1344705.9501287255,6730805.715201611,319861.6806532738,2.684777092543185,78.70197887250983,493175.1666841464,0.04685819994699908,1.373608659160311,493.1751666841464,31095.66973662622,-1524.4330351436324,-5687.251544713815,2.3225142919128665e-06,3.84393595273675e-06,3.1327934600543603e-05,4.295657854695074e-06,-1.5462579609202167e-06,3.131718078778016e-05,3.164821326047995e-05,31648.21326047995,0.9969553607489794,0.034883323263750564,-0.06973609194929911,-0.00019977884741980323,1.0,0.0017464574868805366,-0.0034900753412657067,-2.0032838831829878e-05,0.1000646430972791,-0.19996658723720548,-0.0011477971167296384,-0.005315242671211363,-0.13948547318499102,0.07032247461792566,-0.304540972148253,-7.991928916885202,4.029181000522997,0.12327269284596465,1.475339902595983,0.07131166716510481,7.063005029286312,84.5307497659918,4.085857558602158,-0.044345415071230784,-1.1383505517550036e-18,-0.9990162582071227,-0.12174945543876922,0.9925461516413221,0.005404346617759624,0.9915697425105928,0.1218693434051474,-0.0440148710718872,8.616156262525941e-06,6.174320281753703e-07,3.0446510991099412e-05,3.164821326047995e-05,8.982186960087158e-06,1.5446732351434031e-06,3.1014020333351456e-05,3.232545676749001e-05,1.0,2.485023570707184e-16,2.220446049250313e-16,-1.2304254031847103e-18,-7.332704943040995e-18,-1.2304254031847103e-18,0.0,2.5591241081926718e-18,-7.332704943040995e-18,2.5591241081926718e-18,-1.1102230246251565e-16,0.9966484102313361,0.04227905184504261,-0.0696180364689548,0.007599812934663217,1.0,0.021507180503837577,1.2322706720959407,2.310258783769786e-06,0.00034165702734236615,0.000292196783860162,0.0012095703412552967,0.0015199535465828507,0.018483966764262647,0.017093764473051627,0.03477887780327733,0.002638567177015514,-0.003152496233165752,-0.00026000636921747166,0.15117876320473694,-0.1806247290912875,-0.01489726760268133,0.0008921096901349772,0.0003375791080999545,-0.00023997353038564178,0.0009835683243903468,0.05635431385032114,1.932574091919761e-07,-1.6137955303336275e-07,2.494571694240983e-07,0.1932574091919761,-0.16137955303336274,0.2494571694240983,0.000659825412800503,0.0006482083938502078,0.000857560382452694,8.731839328232993e-07,9.011146647212414e-07,4.6973500966511004e-07,0.8731839328232993,0.9011146647212415,0.46973500966511006,2.5593557153264134e-07,1.180203703513869e-06,3.6283650111350866e-07,1.2609655527031202e-06,1.0259619125063841
50.0,2026-01-01T12:00:50.000,6860708.590761453,-46409.82093044698,377977.65931782674,-421.90253854709624,-927.2458680165734,7551.811573034988,6871269.413272207,7620.212902958255,1357956.7523281996,6724132.846880281,395391.2822535442,3.3193554833244794,78.58252995548807,493203.5436209917,0.057933682228139896,1.37152388227034,493.2035436209917,31184.442671850877,-1469.8858019490817,-4845.927423288038,2.0410366026036935e-06,2.6812010744503303e-06,3.1412710357460385e-05,3.1018953264203758e-06,-1.4893545860579935e-06,3.140498543093788e-05,3.159292708212554e-05,31592.927082125538,0.995244099864137,0.04358779745146254,-0.08711594826517326,-0.00031169987809424963,1.0,0.001747092115332301,-0.0034897471056699785,-2.5043297947790288e-05,0.10010100462912411,-0.19994778072288427,-0.0014348752774970192,-0.008341237086117363,-0.17425665134308505,0.08826484230362434,-0.4779176809525257,-9.984170674041462,5.057202943385442,0.10930380623551383,1.4515655958817817,0.07502871259296194,6.262646782010673,83.16858233041852,4.29882857387677,-0.05542152150679491,1.1383505517550065e-18,-0.9984630463636959,-0.12168203587464684,0.9925461516413221,0.00675418443654735,0.9910206542243573,0.12186934340514738,-0.05500841788967605,8.511921485467999e-06,1.2211058535716958e-06,3.040015024199884e-05,3.159292708212553e-05,7.952629022584761e-06,1.3898566376541946e-06,2.9541267641169837e-05,3.062454087315134e-05,1.0,1.1196383324115794e-16,0.0,5.213068774267505e-18,-2.89828010477547e-18,5.213068774267505e-18,0.0,8.330548684016938e-18,-2.89828010477547e-18,8.330548684016938e-18,-1.1102230246251565e-16,0.9950181219787626,0.05490225929459508,-0.08304776584044506,0.005267584561840265,1.0,0.02651408756668469,1.5191453152113235,3.2810714089918098e-06,0.000337128407477708,0.00029729474878260165,0.0013641844625919674,0.0018113727968013128,0.01836105681810576,0.017242237348517205,0.036934867843163695,0.002576511142421006,-0.0030662369537704758,-0.00026024991707823827,0.14762321432915382,-0.17568243643809836,-0.014911221867212698,0.000829419027088705,0.00042351015189950273,-0.00023520661913044798,0.0009605305434714137,0.055034346234319256,1.5919215867665582e-07,-2.36130287517645e-07,7.285284344804301e-08,0.15919215867665581,-0.23613028751764498,0.072852843448043,0.0005805728595240936,0.0005627330625444267,0.0008535246966117785,8.726484989784006e-07,8.986133916115858e-07,4.437514877320029e-07,0.8726484989784007,0.8986133916115858,0.4437514877320029,-6.347507718943767e-07,-3.409494525368425e-07,-1.106732001354797e-06,1.3206100084538485e-06,1.4510839580505643
60.0,2026-01-01T12:01:00.000,6856068.187177278,-55679.23870428066,453471.0088535534,-506.16864746187406,-926.618705550293,7546.703744642979,6871274.053675757,7620.20776190239,1371031.087925391,6716618.207795735,470872.304735168,3.9539168843476173,78.46298251728768,493237.9333582755,0.06900886798206177,1.3694373858614186,493.2379333582755,31262.43776973859,-1415.7087094105764,-4002.0922527870125,1.7544857484211633e-06,1.5166367727151685e-06,3.146398864598594e-05,1.90519806878497e-06,-1.429567044208047e-06,3.145929985300546e-05,3.154934213032812e-05,31549.34213032812,0.9931538769698626,0.05228136641214085,-0.1044597273528107,-0.0004480481969742824,0.9999999999999999,0.0017478677686445332,-0.0034893457268324857,-3.0055255750682614e-05,0.10014544629028035,-0.1999247834095101,-0.0017220393067004106,-0.012075518983465408,-0.20895967506001478,0.10645270015557236,-0.691876273182674,-11.972507469363935,6.099290436685938,0.09528744016809808,1.4278262604389236,0.07875539582440749,5.459568162237371,81.80841860109743,4.512351794620776,-0.06649079827288908,-0.0,-0.9977870382727139,-0.12159965121246227,0.9925461516413221,0.008103189928001096,0.9903496849951747,0.12186934340514735,-0.0659951859453155,8.406495793549586e-06,1.8290293913306797e-06,3.035368954205038e-05,3.154934213032812e-05,9.58494609485686e-06,1.5791034803444269e-06,3.0268827178505117e-05,3.1789411101892996e-05,1.0,2.7202869024460224e-16,-1.1102230246251565e-16,2.0896113716971146e-18,3.913653859123117e-18,2.0896113716971146e-18,2.220446049250313e-16,1.505345026294181e-18,3.913653859123117e-18,1.505345026294181e-18,-1.1102230246251565e-16,0.9923275437940905,0.062401220696822406,-0.10658699425365314,0.005598762283372825,1.0,0.024015427637410842,1.3759826468254752,4.890363259523818e-06,0.0003277798595293579,0.0002977947399471921,0.0015512519358717519,0.002211416573041773,0.018104691644139036,0.017256730279725418,0.03938593576229657,0.0023778729950474906,-0.003389720448780365,-0.0001672408706782722,0.1362420868343537,-0.19421667544430626,-0.009582196051958198,0.0006300052264029575,9.962527805212071e-05,-0.00013718561492758957,0.0006524198604158713,0.037380904472343705,1.4311176193072044e-07,-2.208891358975595e-07,9.634608456245924e-08,0.14311176193072045,-0.22088913589755949,0.09634608456245924,0.0005115702289633736,0.00048615051231372386,0.0008501032194073329,8.723508401597027e-07,8.951300005373597e-07,4.227503534207029e-07,0.8723508401597028,0.8951300005373597,0.4227503534207029,1.4022029491623664e-06,-9.439020900982126e-07,-1.9104242757594366e-07,1.7010648063685056e-06,1.8416427608162542
70.0,2026-01-01T12:01:10.000,6850585.425731677,-64941.81555409311,528908.6435341636,-590.3723807784903,-925.8776973465974,7540.66871712611,6871279.536437145,7620.201687611308,1383926.1310588024,6708262.978321657,546295.4743648755,4.588458039681121,78.34331750768729,493278.3204645493,0.08008370038204018,1.3673488374444611,493.27832046454927,31329.610356148012,-1361.8852281287,-3156.213644119258,1.463064664498228e-06,3.514281042859342e-07,3.148169056904332e-05,7.06759612952681e-07,-1.3668721971320033e-06,3.148004212602301e-05,3.151762841664926e-05,31517.62841664926,0.9906854822822476,0.06096184829760314,-0.12176024763688072,-0.0006085579152576861,1.0,0.0017487844444840515,-0.003488871083522472,-3.5069011058550525e-05,0.10019796794706637,-0.1998975883510722,-0.0020093063253525567,-0.01654022300556944,-0.2435795218560378,0.12493954384903923,-0.9476849704243184,-13.956078578165558,7.1585085568396325,0.08122408979467746,1.4041213962436476,0.08249418123587572,4.65379754002664,80.45022992877733,4.726568419202988,-0.07755188132064955,2.276701103510043e-18,-0.9969883177367866,-0.12150231166518465,0.992546151641322,0.009451196856381475,0.9895569180010033,0.12186934340514735,-0.07697382135735524,8.300037152141168e-06,2.4407260758947307e-06,3.030698171223094e-05,3.151762841664926e-05,7.919107607737226e-06,3.4632674145687607e-06,3.025245223016214e-05,3.14629520615275e-05,1.0,1.1424898585174137e-16,-1.1102230246251565e-16,8.774594891976599e-18,-1.5987561804518058e-17,8.774594891976599e-18,0.0,5.553729743601061e-18,-1.5987561804518058e-17,5.553729743601061e-18,0.0,0.9897851575507363,0.07717326675918035,-0.11980527695289764,0.004040347042003555,0.9999999999999999,0.03400363885418914,1.9482649944321002,6.320591824496459e-06,0.0003179907777768222,0.00029633072058809205,0.0017714518743045518,0.002514078722812088,0.017832295919954395,0.0172142592227517,0.042088619296723806,0.002471764438964498,-0.0032656855042930543,-0.00022150969178843263,0.1416216703031875,-0.1871099966130439,-0.012691570460720858,0.0007229799944804465,0.00022318557922941778,-0.00018644068072988211,0.0007792765892967265,0.04464925964005205,1.4870922309962103e-07,-2.3998279733110173e-07,7.454857811456546e-08,0.14870922309962104,-0.23998279733110173,0.07454857811456546,0.00045416369535422157,0.00042096693538566193,0.0008464253057431869,8.717626641655909e-07,8.914295603043002e-07,4.0678755167541106e-07,0.8717626641655909,0.8914295603043002,0.4067875516754111,-6.23241561345263e-07,4.59964608000976e-07,-5.0156422060374455e-08,7.762172061191837e-07,0.3979005524801784
80.0,2026-01-01T12:01:20.000,6844260.982068442,-74196.41347005284,604281.2950133514,-674.5033623463439,-925.0229352651489,7533.707238621297,6871285.86088072,7620.194680835785,1396639.0796692611,6699068.446065297,621651.5245796276,5.222975692855835,78.22351576270928,493324.68683036487,0.09115812259196639,1.3652579025449605,493.32468683036484,31385.92957616554,-1308.3991106834483,-2308.758560123918,1.1669847241442407e-06,-8.13241658918992e-07,3.146578513782261e-05,-4.922265846975519e-07,-1.3012520361307402e-06,3.146717823081041e-05,3.149791818012432e-05,31497.918180124318,0.9878398490603464,0.06962706082874459,-0.13901034599669096,-0.000792915293679711,1.0,0.0017498421399819771,-0.0034883230324384293,-4.008486218678177e-05,0.1002585694351075,-0.19986618733699896,-0.0022966934256661393,-0.02176209024947728,-0.2781003704152773,0.1437813619786214,-1.246875924677849,-15.93397750582025,8.23806521401777,0.0671142598697216,1.380450492627242,0.0862475494409398,3.8453638356792776,79.09398705429633,4.941620576311753,-0.0886034076289927,2.2767011035100727e-18,-0.9960669837699323,-0.12139002929958725,0.9925461516413221,0.010798039111203967,0.9886424515178256,0.12186934340514739,-0.08794297126446406,8.19269404620922e-06,3.055709785481458e-06,3.0259895103154716e-05,3.149791818012432e-05,8.064366224046114e-06,2.503576234993228e-06,3.089220428870806e-05,3.202546147013703e-05,1.0,8.913464895253211e-17,0.0,1.3728004768496573e-17,-5.877859846862777e-17,1.3728004768496573e-17,0.0,1.8141418607306622e-17,-5.877859846862777e-17,1.8141418607306622e-17,0.0,0.9876329262257821,0.07995225745669943,-0.134863306721131,0.0008532657958408727,0.9999999999999999,0.022499927485540725,1.2891508842718822,7.347123916726401e-06,0.0003054735877084379,0.00029339447006657176,0.002012864465932284,0.00271055786079663,0.01747780271396945,0.017128761486650802,0.04486495810688208,0.002217950816841035,-0.0032268432494910984,-0.00020978730679286527,0.12707922097258478,-0.18488449934612006,-0.012019927274647365,0.000468108676859058,0.0002614797829473309,-0.00016970244460608349,0.0005624022847981702,0.03222327730744969,1.6145702945283505e-07,-1.808198301310719e-07,1.1452488247980297e-07,0.16145702945283505,-0.18081983013107192,0.11452488247980297,0.0004091620914829629,0.0003665820900844076,0.0008418588135855732,8.713684784925526e-07,8.861026512706496e-07,3.9327449824912603e-07,0.8713684784925525,0.8861026512706497,0.393274498249126,-8.372532583417499e-08,-1.5282378370703566e-06,6.534304830424881e-07,1.6641791409006002e-06,1.8762294626015434
90.0,2026-01-01T12:01:30.000,6837095.635548328,-83441.89543143801,679579.7030004624,-758.5512251402837,-924.054525266111,7525.820172104817,6871293.026227115,7620.18674244184,1409167.1559997178,6689036.005672914,696931.1971352783,5.857466586732327,78.10355798576926,493377.0116774599,0.10223207776403312,1.363164244373984,493.37701167745985,31431.3781906812,-1255.234402169605,-1460.1925135123706,8.664652649936152e-07,-1.9761933691178695e-06,3.141628890017011e-05,-1.6905695052251267e-06,-1.232693672041621e-06,3.142072169135281e-05,3.149030502466652e-05,31490.30502466652,0.9846180532901286,0.07827482122948393,-0.15620288082521466,-0.001000758988797577,1.0,0.0017510408516779495,-0.003487701408193814,-4.510310686333641e-05,0.10032725055613968,-0.1998305708913395,-0.002584217666196713,-0.027772771857243233,-0.31250543296477035,0.16303713092587999,-1.591262612799746,-17.90524238378981,9.341339505974755,0.05295846148602344,1.3568130309177575,0.09001799971649102,3.034296332655261,77.73966025994078,5.157651463964776,-0.09964401537556276,-0.0,-0.9950231505848669,-0.1212628180346988,0.9925461516413221,0.012143550728072244,0.9876063989070334,0.12186934340514735,-0.09890128399510355,8.084606873275614e-06,3.6734867004666314e-06,3.0212314338901898e-05,3.149030502466653e-05,8.750050937639693e-06,3.88621931206262e-06,3.074313534190978e-05,3.2199479228765796e-05,1.0000000000000002,5.79213309358782e-17,0.0,1.4260923876958562e-17,3.4279485910888695e-17,1.4260923876958562e-17,0.0,1.729113022773632e-17,3.4279485910888695e-17,1.729113022773632e-17,0.0,0.9840580431089672,0.08799059818453965,-0.15454610332338098,0.0017100793069540002,1.0,0.020474804470504572,1.1731198825155023,9.286628346530347e-06,0.0002924007591093187,0.00028921795381863945,0.002282265128947755,0.0030473969788214904,0.017099729796383297,0.017006409198259326,0.04777305860992946,0.0021568693909594793,-0.0033318246293119213,-0.00016336805932338287,0.12357951306293048,-0.19089948933731307,-0.009360300306472698,0.0004058285392815298,0.00015587677888189268,-0.00011826495246004647,0.0004505340969009468,0.025813702279162312,1.530551388821698e-07,-1.2084829331359878e-07,1.6877409255371435e-07,0.1530551388821698,-0.12084829331359878,0.16877409255371434,0.00037517174595868614,0.0003216796539338981,0.0008377906549625413,8.710034627846228e-07,8.813225836523136e-07,3.8169977730967744e-07,0.8710034627846228,0.8813225836523136,0.3816997773096774,8.483029530176437e-07,-3.999786793433692e-07,4.3303200400154454e-07,1.033013823972029e-06,0.7984936410270468
